total_txn_amount,avg_txn_amount,std_txn_amount,txn_count,max_txn_amount,min_txn_amount,burst_score,time_to_first_outbound_minutes,fund_exit_ratio,txn_velocity,distinct_counterparties,counterparty_diversity_score,incoming_sources_count,international_counterparty_flag,pep_flag,high_risk_country_flag,kyc_risk_score,account_age_days,alert_count,historical_sar_flag,total_txn_amount_cbrt,avg_txn_amount_cbrt,std_txn_amount_cbrt,max_txn_amount_cbrt,min_txn_amount_cbrt,time_to_first_outbound_minutes_log,txn_count_log,account_age_days_log,incoming_sources_count_log,txn_velocity_log,distinct_counterparties_log,txn_amount_cv,max_to_avg_txn_ratio,alert_density,counterparty_to_txn_ratio,incoming_to_outgoing_ratio,burst_x_exit,kyc_x_alert,pep_x_intl,hr_country_x_exit,diversity_x_sources,sar_history_x_kyc,burst_per_age,alert_tier,kyc_risk_tier,burst_tier,fund_exit_tier,binary_risk_flag_count,high_risk_combined,all_flags_set,sar_worthy,typology_structuring,typology_rapid_movement,typology_funnel_account,typology_trade_based,typology_shell_company,typology_round_tripping
19510160.63,812923.3594,145142.0594,24,812923.3594,472760.79,0.2397060534048623,3994.37183067547,0.604195631777363,1.7127329566098468,27,0.4814002212847271,12,1,1,0,0.8756750336002204,646.7155273866537,6,1,269.207372,93.328983,52.55303,93.328983,77.901739,8.292892,3.218876,6.473452,2.564949,0.997957,3.332205,0.1785,1.0,0.2783,1.0,0.4444,0.1448,1.704,1,0.0,1.2348,0.8757,0.037,3,2,0,1,3,1,0,0,0,0,0,0,0,0
3990205.71,92795.4817,2111.3978,43,92795.4817,1321.75,0.8310597713994422,54.0,0.9509293583132408,11.37191715994542,9,0.3938219133406723,49,0,0,0,0.7298317231698334,515.4179175815992,3,0,158.610437,45.273313,12.828918,45.273313,10.974459,4.007333,3.78419,6.246916,3.912023,2.515429,2.302585,0.0228,1.0,0.1746,0.2093,5.4444,0.7903,1.0118,0,0.0,1.5406,0.0,0.133,2,2,2,3,0,0,0,1,0,1,1,0,0,0
887093.67,29569.7889,2111.3978,30,49648.69,19338.78,0.8308264530908539,191.0,0.9084918337343428,5.1830079226262615,9,0.5297890227538385,49,1,0,0,0.6447281427582214,622.7932358394347,3,1,96.085199,30.92308,12.828918,36.75383,26.84168,5.257495,3.433987,6.435819,3.912023,1.821805,2.302585,0.0714,1.679,0.1445,0.3,5.4444,0.7548,0.8938,0,0.0,2.0725,0.6447,0.1291,2,1,2,2,2,1,0,1,0,1,1,0,0,0
2483287.58,310410.9479,64213.7652,8,590425.09,310410.9479,0.5486732730929886,2086.0,0.8727795342725518,1.433528562664797,24,0.6725812389094621,7,1,1,1,0.6117855056442876,147.11787593705992,4,0,135.417774,67.708887,40.044485,83.892203,67.708887,7.643483,2.197225,4.998008,2.079442,0.889342,3.218876,0.2069,1.9021,0.8157,1.0,0.2917,0.4789,0.9846,1,0.8728,1.3986,0.0,0.1098,2,1,1,2,3,1,0,1,0,0,0,1,0,0
2266449.08,107926.1468,26120.9828,21,389378.8,107926.1468,0.8842271368746741,323.73,0.458272346765182,19.818343853897247,9,0.4969056514738405,15,1,0,0,0.5727162442412187,109.03032521908088,9,1,131.355619,47.611174,29.67084,73.022624,47.611174,5.782994,3.091042,4.700756,2.772589,3.035835,2.302585,0.242,3.6078,2.4764,0.4286,1.6667,0.4052,1.3187,0,0.0,1.3777,0.5727,0.1881,3,1,2,0,2,1,0,0,0,0,0,0,0,0
835027.77,26094.6179,2111.3978,32,49648.69,26094.6179,0.6917456580340344,346.0,0.894197817051489,4.6462776930743415,10,0.4068348015743642,11,1,1,1,0.8004082302631812,317.5253616683975,3,1,94.167341,29.660854,12.828918,36.75383,29.660854,5.849325,3.496508,5.763702,2.484907,1.730997,2.397895,0.0809,1.9026,0.2834,0.3125,1.1,0.6186,1.1096,1,0.8942,1.0109,0.8004,0.12,2,2,2,2,4,1,1,1,0,0,1,0,0,0
2440139.67,78714.1829,20091.807,31,995864.65,2913.67,0.4188674787733922,3643.1218584213857,0.7502919940001016,1.7880440906930524,19,0.306563257953458,8,1,0,0,0.7536792909056239,1717.967035256293,10,1,134.628879,42.856595,27.185647,99.861965,14.282803,8.200871,3.465736,7.449479,2.197225,1.02534,2.995732,0.2553,12.6517,0.1746,0.6129,0.4211,0.3143,1.8072,0,0.0,0.6736,0.7537,0.0562,3,2,1,1,2,1,0,0,0,0,0,0,0,0
6394146.57,799268.3211,150611.6743,8,799268.3211,463646.84,0.5131988985670712,2476.0,0.7596512301852907,1.690864837941181,49,0.4811285340110339,11,1,0,1,0.5569769267065218,868.6563051682888,5,1,185.606934,92.803467,53.205053,92.803467,77.397886,7.814803,2.197225,6.768098,2.484907,0.989863,3.912023,0.1884,1.0,0.1727,1.0,0.2245,0.3899,0.998,0,0.7597,1.1956,0.557,0.0758,2,1,1,1,3,1,0,0,0,0,0,0,0,0
12009278.47,1000773.2057,183725.2476,12,1000773.2057,259953.25,0.1821172461535409,865.0,0.7059070248280451,0.831190942585756,60,0.4981140812775624,19,1,0,1,0.5721684164045966,1201.5339923083218,7,0,229.00184,100.025767,56.849015,100.025767,63.821217,6.763885,2.564949,7.092186,2.995732,0.604967,4.110874,0.1836,1.0,0.1748,1.0,0.3167,0.1286,1.1898,0,0.7059,1.4922,0.0,0.0257,3,1,0,1,2,1,0,0,0,0,0,0,0,0
3950357.41,246897.3384,132426.9298,16,2797180.76,246897.3384,0.5949540012764675,4226.0,0.6263707994335632,2.4125803087597912,5,0.5611090416078726,14,1,0,0,0.648101365396092,252.6470135943844,6,1,158.080681,62.73436,50.971268,140.898654,62.73436,8.349248,2.833213,5.535944,2.70805,1.227469,1.791759,0.5364,11.3293,0.7125,0.3125,2.8,0.3727,1.2611,0,0.0,1.5195,0.6481,0.1075,3,1,1,1,2,1,0,0,0,0,0,0,0,0
18095775.09,244537.5012,7699.9253,74,244537.5012,39766.88,0.6114849434005601,120.0,0.6890298406976495,3.9965217960909727,6,0.3109074672264967,3,0,0,1,0.7482361805341641,203.4928430705561,7,0,262.538135,62.533848,19.746744,62.533848,34.132951,4.795791,4.317488,5.320533,1.386294,1.608742,1.94591,0.0315,1.0,1.032,0.0811,0.5,0.4213,1.5559,0,0.689,0.431,0.0,0.1149,3,2,2,1,1,1,0,1,1,0,0,0,0,0
8026570.16,1003321.2698,162759.6056,8,1003321.2698,892584.09,0.3021114704336848,6588.0,0.851056779149025,1.7543811832864669,32,0.3102364165703238,19,0,0,1,0.5639821685355768,1056.2110531196545,6,0,200.221173,100.110587,54.598688,100.110587,96.283022,8.793157,2.197225,6.96339,2.995732,1.013193,3.496508,0.1622,1.0,0.1704,1.0,0.5937,0.2571,1.0975,0,0.8511,0.9294,0.0,0.0434,3,1,1,2,1,1,0,0,0,0,0,0,0,0
1626975.04,147906.8215,31609.5577,11,147906.8215,147906.8215,0.9886762371266764,323.73,0.416532420894627,18.18611193295557,14,0.6292748392885821,9,0,0,0,0.7385829388687872,233.7714769751969,3,0,117.614346,52.884622,31.61837,52.884622,52.884622,5.782994,2.484907,5.458613,2.302585,2.954187,2.70805,0.2137,1.0,0.385,1.0,0.6429,0.4118,1.0239,0,0.0,1.449,0.0,0.1811,2,2,3,0,0,0,0,0,0,0,0,0,0,0
